title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
Commercial Operations Associate,Redwood Materials,"Carson City, NV",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5748946004?gh_jid=5748946004,"The Commercial Operations Associate needs to be detail-oriented and organized to provide administrative and transactional support to the Commercial Operations team. They should be comfortable working in systems and spreadsheets in a fast-paced environment, performing data entry, order processing, and system updates.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Battery Performance, Demand Response","Business Administration & Management, Supply Chain & Logistics, Industrial & Systems Engineering, Data Science & Machine Learning, Environmental Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Data entry, Order processing, Customer support, Data management, Reporting, Invoicing, Communication, Coordination, Problem-solving, Excel",,Greenhouse API,2026-02-14T19:19:07.891502
"Compliance Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5734264004?gh_jid=5734264004,"The role requires experience in regulatory compliance and advocacy, particularly with UL, NFPA, and NEC standards. It involves collaborating with certification bodies and internal engineering teams to ensure new energy storage technologies meet relevant regulations and industry standards.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Battery Performance,"Chemical Engineering, Materials Science & Engineering, Electrical Engineering, Environmental Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain by integrating recovery, reuse, and recycling to produce battery materials in the U.S.","Regulatory Compliance, Product Certification, UL Standards, NFPA Standards, NEC Standards, Energy Storage, NPI, Cross-functional Collaboration",,Greenhouse API,2026-02-14T19:19:07.892383
"Compliance Quality Engineer, Energy Storage",Redwood Materials,"McCarran, NV; San Francisco, California, United States",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5737877004?gh_jid=5737877004,"The Compliance Quality Engineer will own compliance-critical requirements and objective evidence for Redwood Material's Energy Storage Systems program from design through manufacturing, certification, and deployment. This role requires working closely with compliance engineering, product engineering, manufacturing, quality, and certification bodies to maintain alignment between compliance intent, manufacturing reality, and certification files.","Electricity, Transportation, Manufacturing","Energy Storage & Demand Flexibility, Vehicle Electrification, Cross-Cutting Manufacturing","Battery Performance, Distributed Storage, Electrified Chemical Processes","Chemical Engineering, Electrical Engineering, Materials Science & Engineering, Industrial & Systems Engineering, Environmental Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to drive the energy transition by delivering low-cost and large-scale energy storage and producing battery materials in the U.S. from recycled batteries.","Compliance, Quality Engineering, Manufacturing, Regulatory Requirements, Certification, Documentation, Product Engineering, Energy Storage Systems",,Greenhouse API,2026-02-14T19:19:07.894014
Controls Engineering Intern,Redwood Materials,"McCarran, NV",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5798038004?gh_jid=5798038004,"This internship is for Summer 2026 and involves implementing and maintaining controls hardware, instrumentation, and electrical equipment. The intern will oversee and maintain plant control systems, including UI/UX and backend controllers.","Transportation, Manufacturing","Vehicle Electrification, Cross-Cutting Manufacturing","Battery Performance, Electrified Chemical Processes","Electrical Engineering, Chemical Engineering, Mechanical Engineering, Computer Science, Materials Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain by integrating recovery, reuse, and recycling to produce battery materials in the U.S.","Automation, Control Systems, UI/UX, Instrumentation, Electrical Equipment",,Greenhouse API,2026-02-14T19:19:07.896546
Controls Technician,Redwood Materials,"McCarran, NV",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5748763004?gh_jid=5748763004,"The candidate should have 4+ years of experience in industrial automation, controls, or instrumentation within a manufacturing or process environment. They should also be proficient in troubleshooting and repairing PLCs, HMIs, VFDs, and industrial sensors.",Manufacturing,Cross-Cutting Manufacturing,Electrified Chemical Processes,"Electrical Engineering, Mechanical Engineering, Industrial & Systems Engineering, Chemical Engineering, Materials Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","PLCs, HMIs, VFDs, Instrumentation, Electrical equipment, Troubleshooting, Automation, Electrical control panels, P&ID diagrams, Electrical schematics",,Greenhouse API,2026-02-14T19:19:07.897052
"Director of Construction, EPC",Redwood Materials,"McCarran, NV",Executive,https://boards.greenhouse.io/redwoodmaterials/jobs/5677210004?gh_jid=5677210004,"The Director of Construction, EPC will lead construction execution across Redwood's battery materials campus and energy storage installations. This individual will oversee construction strategy, manage contractors, and build an internal GC capability.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Civil Engineering, Mechanical Engineering, Electrical Engineering, Construction Management & Trades, Industrial & Systems Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain by integrating recovery, reuse, and recycling to produce battery materials in the U.S.","Construction Management, EPC, Contract Management, Team Leadership, Budget Management",,Greenhouse API,2026-02-14T19:19:07.901952
"Director of Power Electronics and Electrical Engineering, Energy Storage",Redwood Materials,"San Francisco, California, United States",Executive,https://boards.greenhouse.io/redwoodmaterials/jobs/5737884004?gh_jid=5737884004,"The candidate should be a self-driven leader, adaptable to a startup environment, and experienced in electrical design, development, and integration of high-power electromechanical products. Experience in power electronics and systems integration is essential.",Energy Storage,Energy Storage & Demand Flexibility,"Distributed Storage, Long-Duration Storage","Electrical Engineering, Materials Science & Engineering, Chemical Engineering, Mechanical Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Power Electronics, Electrical Engineering, Systems Integration, Test Engineering, High-Power Electronics, Team Leadership, Product Development, Firmware, Mechanical Engineering",,Greenhouse API,2026-02-14T19:19:07.903565
Director of Recruiting,Redwood Materials,"McCarran, NV",Executive,https://boards.greenhouse.io/redwoodmaterials/jobs/5786164004?gh_jid=5786164004,"The Director of Recruiting will serve as a strategic partner to executive leadership, architecting and executing Redwood Materials' long-term talent acquisition strategy to fuel sustainable growth across energy, manufacturing, construction, engineering, and corporate functions. This role drives competitive advantage through talent by anticipating future capability needs, shaping organizational design, and building a world-class employer brand that attracts mission-driven, high-impact talent.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Battery Performance, Demand Response","Business Administration & Management, Management Science & Engineering, Engineering: Industrial & Systems Engineering, Sustainability & Sustainable Development, Communications & Journalism",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling.","talent acquisition, workforce planning, employer branding, leadership, organizational design, recruiting, strategy",,Greenhouse API,2026-02-14T19:19:07.904599
Electrical Engineering Intern,Redwood Materials,"McCarran, NV",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5763829004?gh_jid=5763829004,"The Electrical Engineering Intern role requires someone pursuing a degree in Electrical Engineering or equivalent. Familiarity with electrical drawings, REVIT MEP, Navisworks, and Bluebeam is desired, along with a passion for sustainability.","Transportation, Electricity","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Electrical Engineering, Renewable Energy Engineering, Mechanical Engineering, Materials Science & Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Electrical Design, REVIT MEP, Navisworks, Bluebeam, Low Voltage Power Distribution, Construction Drawings, Electrical Circuits, SKM",,Greenhouse API,2026-02-14T19:19:07.905075
"Embedded Software Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737844004?gh_jid=5737844004,"The role involves designing and implementing containerized services for networked device management, site level controls orchestration, time series data management, and system diagnostics. The ideal candidate is self-driven, adaptable, and eager to take on novel technical challenges. Experience with system software development is crucial.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Distributed Storage, Battery Performance","Computer Science, Electrical Engineering, Energy Science & Engineering, Data Science & Machine Learning, Mechanical Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to drive the energy transition.","Software Development, System Software, Containerization, Networked Device Management, Time Series Data Management, System Diagnostics, Energy Storage Systems, Battery Management Systems",,Greenhouse API,2026-02-14T19:19:07.908045
"Engineering Test Technician, Energy Storage",Redwood Materials,"San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737068004?gh_jid=5737068004,"The role requires hands-on experience building, setting up, and running tests to validate product performance and reliability. The ideal candidate should have a proactive attitude, attention to detail, and a strong safety mindset. Experience with electromechanical systems and high-voltage systems is highly desired.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Electrical Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain by integrating recovery, reuse, and recycling to produce battery materials in the U.S.","Test equipment operation, Data collection, Troubleshooting, Failure analysis, High-voltage systems, Electromechanical systems, FMEA, Test infrastructure maintenance",,Greenhouse API,2026-02-14T19:19:07.909321
Environmental Health and Safety Intern,Redwood Materials,"McCarran, NV",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5763827004?gh_jid=5763827004,"The EHS intern will assist with projects tied to employee health and safety in a manufacturing environment. The candidate should have 2-5 years of relevant coursework, be actively enrolled in an academic program, and be willing to be hands-on with projects and tasks.","Manufacturing, GHG Removal","Cross-Cutting Manufacturing, Biological Carbon Removal",Enhanced Weathering,"Environmental Engineering, Occupational Health & Safety, Chemical Engineering, Environmental Science, Engineering: Mechanical Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling, keeping critical minerals in circulation and driving the energy transition.","Ergonomics, Industrial hygiene, Data collection, Auditing, Compliance, EHS, Air sampling",,Greenhouse API,2026-02-14T19:19:07.909990
Field Service Electrician,Redwood Materials,"McCarran, NV",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5640993004?gh_jid=5640993004,"The role requires expertise in electrical troubleshooting, repair, and maintenance of solar panels and battery storage systems. Strong technical skills and the ability to execute multiple tasks efficiently are essential. Experience with medium voltage systems is a plus.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Distributed Storage, Flexible EV Charging","Electrical Engineering, Renewable Energy Engineering, Energy Science & Engineering, Environmental Engineering, Mechanical Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Electrical Troubleshooting, Repair, Maintenance, Solar Panels, Battery Storage Systems, Electrical Systems, Medium Voltage Systems, Installation, Testing, Commissioning",,Greenhouse API,2026-02-14T19:19:07.910617
"Field Service Technician, Solar and Battery Storage",Redwood Materials,"McCarran, NV",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5753001004?gh_jid=5753001004,"The role requires strong electro-mechanical troubleshooting skills, attention to detail, and the ability to manage multiple priorities. Experience with solar and battery storage systems is essential, as well as the ability to perform routine maintenance, inspections, and diagnostics.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Vehicle Electrification",Battery Performance,"Electrical Engineering, Mechanical Engineering, Renewable Energy Engineering, Materials Science & Engineering, Chemical Engineering",,,yearly,"Redwood Materials is focused on localizing the battery supply chain through recovery, reuse, and recycling of battery materials.","Troubleshooting, Maintenance, Diagnostics, Electrical systems, Mechanical systems, Solar panels, Inverters, Battery storage units",,Greenhouse API,2026-02-14T19:19:07.911151
"Finance and Business Operations Intern, Energy Storage",Redwood Materials,"San Francisco, California, United States",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5744089004?gh_jid=5744089004,"The candidate will support the Energy business by analyzing costs, maintaining cost models, and tracking cost reductions. They will also assist in project finance modeling.",Energy,Energy Storage & Demand Flexibility,"Distributed Storage, Long-Duration Storage","Finance & Accounting, Business Administration & Management, Management Science & Engineering, Economics, Chemical Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling, keeping critical minerals in circulation and driving the energy transition.","cost analysis, financial modeling, project finance, BOM cost analysis",,Greenhouse API,2026-02-14T19:19:07.912486
"Firmware Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Senior,https://boards.greenhouse.io/redwoodmaterials/jobs/5737443004?gh_jid=5737443004,"The role involves developing firmware for ARM Cortex-M microcontrollers for use in large-scale, distributed industrial energy storage applications. Experience with communication protocols, control algorithms, and power electronics is important. The ideal candidate is self-driven and adaptable to a startup environment.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Distributed Storage, Battery Performance","Electrical Engineering, Computer Science, Energy Science & Engineering, Materials Science & Engineering, Chemical Engineering",,,yearly,"Redwood Materials is focused on localizing the battery supply chain through recovery, reuse, and recycling to produce battery materials in the U.S.","Firmware Development, ARM Cortex-M, Microcontrollers, Communication Protocols, Power Electronics, C/C++",,Greenhouse API,2026-02-14T19:19:07.914118
"FP&A Leader, Commercial Partnership",Redwood Materials,"McCarran, NV",Lead/Principal,https://boards.greenhouse.io/redwoodmaterials/jobs/5753958004?gh_jid=5753958004,"The FP&A Leader will lead financial planning, analysis, and decision support for commercial teams, translating complex financial data into actionable insights to drive revenue growth and market expansion in the energy transition landscape. They will be responsible for budgeting, forecasting, financial modeling, variance analysis, and strategic business partnership with commercial leadership to evaluate financial viability of customer contracts and opportunities.","Transportation, Electricity","Vehicle Electrification, Energy Storage & Demand Flexibility","Battery Performance, Demand Response","Finance & Accounting, Business Administration & Management, Economics, Management Science & Engineering, Supply Chain & Logistics",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Financial Planning, Financial Modeling, Budgeting, Forecasting, Variance Analysis, KPI Tracking, Strategic Decision-Making, Contract Negotiation, Competitive Analysis, Market Intelligence",,Greenhouse API,2026-02-14T19:19:07.915056
"Functional Safety Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5737804004?gh_jid=5737804004,"The Functional Safety Engineer will lead compliance activities for ESS functional safety, apply safety principles to ESS hardware and software, and manage certification efforts. Experience with UL standards (1998, 991, 5500) and safety methodologies (FMEA, hazard analysis) is required.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Electrical Engineering, Chemical Engineering, Materials Science & Engineering, Energy Science & Engineering, Computer Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Functional Safety, UL 1998, UL 991, UL 5500, FMEA, Hazard Analysis, ESS, Battery Technology, Compliance, Certification",,Greenhouse API,2026-02-14T19:19:07.916066
"Hardware Technical Program Manager, Energy Storage",Redwood Materials,"San Francisco, California, United States",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5737915004?gh_jid=5737915004,"The role requires experience in hardware program management, specifically in leading the development, testing, and manufacturing of complex electronics assemblies. It involves coordinating across hardware engineering, validation, supply chain, and operations to ensure hardware is designed for reliability and built to scale.","Energy Storage & Demand Flexibility, Manufacturing, GHG Removal","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Engineering: Chemical Engineering, Engineering: Industrial & Systems Engineering, Business: Supply Chain & Logistics",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Hardware Program Management, Hardware Engineering, Validation, Supply Chain Management, Operations, Electronics Assembly, NPI, Cross-functional Team Leadership",,Greenhouse API,2026-02-14T19:19:07.917554
"Hardware Test Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737871004?gh_jid=5737871004,"The role requires a hands-on, proactive attitude paired with a methodical and analytical approach to problem-solving. Responsibilities include designing and executing validation tests for a new electromechanical product, collaborating with cross-functional teams, and specifying and designing physical test infrastructure.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Electrical Engineering, Mechanical Engineering, Materials Science & Engineering, Energy Science & Engineering, Computer Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Test Engineering, Validation Testing, Electromechanical Systems, FMEA, Sensors, Actuators, Power Supplies, Data Analysis, Problem-solving",,Greenhouse API,2026-02-14T19:19:07.918524
Industrial Engineering Intern,Redwood Materials,"McCarran, NV",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5763676004?gh_jid=5763676004,"The Industrial Engineering Intern will support commercial-scale production and process optimization, applying lean manufacturing and Six Sigma methodologies to enhance efficiency and reduce costs. They will monitor and analyze systems, conduct time and motion studies, and collaborate with teams to improve processes.","Transportation, Manufacturing","Vehicle Electrification, Cross-Cutting Manufacturing","Battery Performance, Electrified Chemical Processes","Industrial & Systems Engineering, Chemical Engineering, Mechanical Engineering, Materials Science & Engineering, Environmental Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Process Optimization, Lean Manufacturing, Six Sigma, Time and Motion Studies, Data Analysis, Reporting, Manufacturing Processes",,Greenhouse API,2026-02-14T19:19:07.919613
Maintenance Electrician (Nights),Redwood Materials,"McCarran, NV",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5792236004?gh_jid=5792236004,"The Electrical Maintenance Technician is responsible for maximizing equipment availability, reliability, and uptime in a high-growth manufacturing environment. This role involves troubleshooting, installing, repairing, and maintaining electrical distribution, automation, and electromechanical systems, while adhering to safety standards and collaborating with various teams.","Manufacturing, Transportation","Vehicle Electrification, Cross-Cutting Manufacturing","Battery Performance, Electrified Chemical Processes","Electrical Engineering, Mechanical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Engineering Physics",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Electrical Maintenance, Troubleshooting, Automation, Electrical Distribution, Electromechanical Systems, Preventive Maintenance, Corrective Maintenance, EHS, Safety Standards, Equipment Repair",,Greenhouse API,2026-02-14T19:19:07.921095
"Manager, Inventory Control",Redwood Materials,"McCarran, NV",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5748900004?gh_jid=5748900004,"The Manager of Inventory Control requires experience with inventory management systems (Oracle WMS preferred), strong leadership skills, and a focus on continuous improvement. The role involves optimizing inventory processes, reducing waste, and ensuring accuracy.",Transportation,Vehicle Electrification,Battery Performance,"Business Administration & Management, Supply Chain & Logistics, Industrial & Systems Engineering, Engineering: Mechanical Engineering, Data Science & Machine Learning",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to drive the energy transition.","Inventory Control, Oracle WMS, Data Analysis, Lean Manufacturing, Supply Chain Management, Logistics, Process Optimization",,Greenhouse API,2026-02-14T19:19:07.921668
"Manufacturing Engineer, Energy Storage",Redwood Materials,"Carson City, NV; McCarran, NV; San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737890004?gh_jid=5737890004,"The role requires a hands-on Manufacturing Engineer to drive the development, optimization, and scaling of production lines for a complex high-voltage system. Experience with high-power electronics, thermal components, and electromechanical integration is needed. The candidate will work closely with test engineering and product design teams.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Engineering: Chemical Engineering, Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Materials Science & Engineering, Energy/Climate: Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Manufacturing Engineering, Production Lines, High-Voltage Systems, High-Power Electronics, Thermal Components, Electromechanical Integration, Process Optimization, Scaling, Test Engineering, Product Design",,Greenhouse API,2026-02-14T19:19:07.923184
"Manufacturing Quality Engineer, Energy Storage",Redwood Materials,"McCarran, NV",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737873004?gh_jid=5737873004,"The Quality Engineer role at Redwood Materials requires experience in incoming, process, and customer-facing quality activities. The role involves developing quality standards and plans, leading the development of DFMEAs and PFMEAs, and coordinating with cross-functional teams to implement quality processes.","Energy Storage, GHG Removal","Energy Storage & Demand Flexibility, Biological Carbon Removal","Long-Duration Storage, Biomass Carbon Removal and Storage","Materials Science & Engineering, Chemical Engineering, Industrial & Systems Engineering, Mechanical Engineering, Environmental Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Quality Engineering, DFMEA, PFMEA, Process Control Plans, Quality Standards, Cross-functional coordination, Risk Mitigation, Process Improvement, Data Analysis, Statistical Process Control",,Greenhouse API,2026-02-14T19:19:07.923698
"Manufacturing Test Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737892004?gh_jid=5737892004,"The role involves designing electrical systems and circuits for high volume manufacturing testers, including PCB assemblies with data acquisition circuits and wiring harnesses. It requires a hands-on approach, problem-solving skills, and collaboration with electrical and mechanical design engineers.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Distributed Storage, Electrified Chemical Processes","Electrical Engineering, Mechanical Engineering, Materials Science & Engineering, Chemical Engineering, Computer Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Electrical Systems Design, Circuit Design, PCB Assembly, Data Acquisition, Manufacturing Testing, High Voltage Power Supplies, DAQ, DFM, CAD",,Greenhouse API,2026-02-14T19:19:07.924618
"Manufacturing Test Infrastructure Lead, Energy Storage",Redwood Materials,"San Francisco, California, United States",Lead/Principal,https://boards.greenhouse.io/redwoodmaterials/jobs/5746130004?gh_jid=5746130004,"The role requires experience in mechanical, electrical, and software engineering domains to design testers for product validation, with a focus on implementation in manufacturing and field settings. The candidate should have a proactive attitude and a methodical approach to problem-solving and experience managing a small team of engineers.","Electricity, Manufacturing, Transportation","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing, Vehicle Electrification","Distributed Storage, Flexible EV Charging, Battery Performance","Electrical Engineering, Mechanical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Computer Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to produce battery materials in the U.S.","System development, Electromechanical systems, Manufacturing testing, Firmware, Hardware, Test coverage, Data analysis, Team management, Mechanical engineering, Electrical engineering",,Greenhouse API,2026-02-14T19:19:07.925592
"Material Flow Specialist, Battery Sorting",Redwood Materials,"McCarran, NV",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5792198004?gh_jid=5792198004,"The role involves handling, moving, and sorting live batteries using forklifts and other material-handling equipment. Candidates must be able to operate and support automated sorting equipment, comply with safety and PPE requirements, and maintain a clean work area.",Transportation,Vehicle Electrification,Battery Performance,"Industrial & Systems Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Environmental Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Forklift Operation, Material Handling, Equipment Operation, Safety Compliance, Inventory Management",,Greenhouse API,2026-02-14T19:19:07.926120
"Mechanical Design Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Senior,https://boards.greenhouse.io/redwoodmaterials/jobs/5737894004?gh_jid=5737894004,"The candidate should be self-driven and adaptable with experience in mechanical design, thermal management, and high-power electronics. Experience in building and leading a mechanical engineering team is a plus.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Chemical Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is focused on localizing a global battery supply chain through recovery, reuse, and recycling to drive the energy transition.","Mechanical Design, Thermal Management, High Power Electronics, CAD, System Integration, Reliability Engineering, Team Leadership",,Greenhouse API,2026-02-14T19:19:07.927408
Mechanical Design Engineering Intern,Redwood Materials,"San Francisco, California, United States",Internship,https://boards.greenhouse.io/redwoodmaterials/jobs/5796854004?gh_jid=5796854004,"The candidate should be highly self-driven and adaptable to a startup environment. They will be responsible for designing mechanical components related to high power electronics, thermal management, and enclosures, while collaborating with other engineering teams.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Flexible EV Charging, Distributed Storage","Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Chemical Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is focused on localizing a global battery supply chain through recovery, reuse, and recycling of battery materials.","Mechanical Design, Thermal Management, High Power Electronics, CAD, Electromechanical Design, Structural Design, Integration, Prototyping",,Greenhouse API,2026-02-14T19:19:07.928546
"Mechatronics Engineer, Battery Sorting",Redwood Materials,"San Francisco, California, United States",Associate,https://boards.greenhouse.io/redwoodmaterials/jobs/5737881004?gh_jid=5737881004,"The candidate should have expertise in automated material handling and industrial automation to design and optimize high-throughput battery sorting systems. Experience in mechatronics, mechanical design, and control systems is required.","Transportation, GHG Removal","Vehicle Electrification, Engineered Carbon Removal","Battery Performance, Direct Air Capture","Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Chemical Engineering, Computer Science",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Robotics, Mechatronics, Automated Material Handling, Industrial Automation, Mechanical Design, Control Systems, Battery Technology",,Greenhouse API,2026-02-14T19:19:07.929661
"Modeling and Architecture Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Lead/Principal,https://boards.greenhouse.io/redwoodmaterials/jobs/5737110004?gh_jid=5737110004,"The ideal candidate has experience leading modeling teams in battery energy storage or electric vehicle space. They should be self-driven, adaptable to a startup environment, and eager to take on novel technical challenges with first principle thinking and the ability to jumpstart new modeling efforts.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Distributed Storage, Battery Performance","Chemical Engineering, Electrical Engineering, Materials Science & Engineering, Energy Science & Engineering, Data Science & Machine Learning",,,yearly,"Redwood Materials is localizing a global battery supply chain that integrates recovery, reuse, and recycling to produce battery materials in the U.S.","Multiphysics Modeling, Technoeconomic Modeling, Algorithm Development, Battery Energy Storage, Battery Management Systems, System Design, Electric Vehicle Technology",,Greenhouse API,2026-02-14T19:19:07.931030
"Power Electronics Controls Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Entry-Level,https://boards.greenhouse.io/redwoodmaterials/jobs/5737875004?gh_jid=5737875004,"The candidate should have experience in high voltage/high power power converters and be able to compare topologies, control algorithms, semiconductors, and magnetics. They should also be familiar with time-domain control and thermal models of circuits and have a working understanding of microprocessor selection, electrical insulation, and thermal interface.","Electricity, Transportation","Energy Storage & Demand Flexibility, Vehicle Electrification","Battery Performance, Distributed Storage","Electrical Engineering, Mechanical Engineering, Materials Science & Engineering, Chemical Engineering, Energy Science & Engineering",,,yearly,"Redwood Materials is localizing a global battery supply chain that seamlessly integrates recovery, reuse, and recycling to keep critical minerals in circulation and drive the energy transition.","Power Electronics, Control Systems, Thermal Modeling, Circuit Design, High Voltage, Power Conversion, Microprocessors, Circuit Board Layout",,Greenhouse API,2026-02-14T19:19:07.932313
